상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,lon,lat
A,골목상권,1000157,용마산로3길,127.0848812735163,37.55656029984123
A,골목상권,1000158,자양로11길,127.08288695723225,37.53391961280386
A,골목상권,1000295,장월로1길,127.04486969357842,37.60613693311729
A,골목상권,1000296,장위로50길,127.05706191208294,37.61465502502365
A,골목상권,1000297,정릉로26길,127.01157380260076,37.60382034084606
R,전통시장,1001277,방산종합시장,127.0001245116387,37.56803346704922
R,전통시장,1001264,통인시장,126.96990837264661,37.580679598013624
R,전통시장,1001265,광장시장,126.99941138428245,37.56997060612632
R,전통시장,1001266,동대문종합시장,127.00809351482725,37.57042082785713
R,전통시장,1001267,종로신진시장,127.00529756952639,37.570366926707166
R,전통시장,1001268,충신시장,127.00571668026423,37.57410603671966
R,전통시장,1001269,동문시장,127.01112718531732,37.570537710296215
R,전통시장,1001270,창신골목시장,127.0115237287406,37.57285322980232
R,전통시장,1001272,신설종합시장,127.02098716952338,37.572662717784326
R,전통시장,1001286,후암시장,126.97628039005014,37.550632831653395
R,전통시장,1001287,신흥시장,126.98506315071423,37.54525530656243
R,전통시장,1001289,용문전통시장,126.96026355135787,37.53654590718111
R,전통시장,1001290,이촌종합시장,126.97476277019915,37.52060216517496
R,전통시장,1001291,이태원시장,126.98939870878053,37.53389416451648
D,발달상권,1001092,강남구 논현역_1,127.02194136821261,37.506772411794465
D,발달상권,1001093,신천역,127.08170705738294,37.51020604889543
D,발달상권,1001094,선정릉역_1,127.04683707408867,37.510666514453426
D,발달상권,1001095,강남구 논현역_2,127.02497287577978,37.50806925695847
R,전통시장,1001288,만리시장,126.96367337165762,37.55128735486901
D,발달상권,1001096,신도림역,126.89005341254958,37.50830905050998
D,발달상권,1001052,뱅뱅사거리_2,127.03248705054254,37.491696148423806
D,발달상권,1001053,서울 강남구 대치역_1,127.06176402022076,37.493288262855124
D,발달상권,1001022,관악구 사당역_2,126.98056555160662,37.47816587022181
