,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y,07-10 totavg,10-17 totavg,17-22 totavg,commute,Total,com,coms,many75,trans
59,30059,국회의사당,5197,78248,16280,15571,49890,8018,37.528105,126.917874,41722.5,15925.5,28954.0,70676.5,86602.0,0.8161070183136648,1,1,1
60,30060,군자(능동),37236,15942,15320,13206,18395,28193,37.557121,127.079542,26589.0,14263.0,23294.0,49883.0,64146.0,0.7776478658061298,1,0,1
61,30061,군포,14921,26772,7320,5823,16727,10590,37.35356,126.948462,20846.5,6571.5,13658.5,34505.0,41076.5,0.8400180151668228,1,0,0
62,30062,굴봉산,207,357,434,399,206,146,37.832067,127.557695,282.0,416.5,176.0,458.0,874.5,0.5237278444825615,0,0,1
63,30063,굴포천,30064,8530,10936,9729,9358,25811,37.506997,126.73128,19297.0,10332.5,17584.5,36881.5,47214.0,0.7811560130469776,1,0,1
64,30064,굽은다리(강동구민회관앞),31000,9290,12812,10796,9815,22170,37.545477,127.142853,20145.0,11804.0,15992.5,36137.5,47941.5,0.753783256677409,1,0,1
65,30065,금곡,4259,2735,2294,1883,1789,2877,37.637382,127.207853,3497.0,2088.5,2333.0,5830.0,7918.5,0.7362505525036307,0,0,1
66,30066,금릉,12267,6332,6358,5242,5867,10325,37.751322,126.765347,9299.5,5800.0,8096.0,17395.5,23195.5,0.7499514992132095,0,0,1
67,30067,금정,69453,50419,30334,25995,40902,57594,37.372221,126.943429,59936.0,28164.5,49248.0,109184.0,137348.5,0.7949413353622354,1,1,1
68,30068,금천구청,37307,18320,14748,13023,13988,27525,37.455626,126.89398,27813.5,13885.5,20756.5,48570.0,62455.5,0.777673703677018,1,0,1
69,30069,금촌,16237,11370,10270,9020,9434,13279,37.766217,126.774644,13803.5,9645.0,11356.5,25160.0,34805.0,0.7228846430110616,0,0,1
70,30070,금호,27951,6611,11626,9518,8213,19930,37.548034,127.015872,17281.0,10572.0,14071.5,31352.5,41924.5,0.7478324130281816,0,0,1
71,30071,기흥,30082,10328,12417,9767,12157,24085,37.275619,127.115936,20205.0,11092.0,18121.0,38326.0,49418.0,0.7755473714031325,1,0,0
72,30072,길동,20508,10989,11120,10755,9738,17479,37.537801,127.140004,15748.5,10937.5,13608.5,29357.0,40294.5,0.7285609698594101,0,0,1
73,30073,길음,70981,21943,27921,24428,22581,49809,37.603407,127.025053,46462.0,26174.5,36195.0,82657.0,108831.5,0.7594951829203861,1,1,1
74,30074,김유정,370,673,908,1091,573,340,37.818466,127.71434,521.5,999.5,456.5,978.0,1977.5,0.4945638432364096,0,0,1
75,30075,김포공항,7885,13838,11869,12644,16339,9690,37.562434,126.801058,10861.5,12256.5,13014.5,23876.0,36132.5,0.6607901473742476,0,0,1
76,30076,까치산,116320,16876,36617,30145,22720,80724,37.531768,126.846683,66598.0,33381.0,51722.0,118320.0,151701.0,0.7799553068206538,1,1,1
